Fußnoten für Fahrplanbuch;Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;
Weingarten, Marienkirche, Mast 1;;05:42;06:47;;07:47;07:47;08:47;08:47;09:47;09:47;10:47;10:47;11:47;11:47;12:47;12:47;13:47;13:47;14:47;14:47;15:47;;16:47;17:47;18:47;
Weingarten, Hoyerstraße, Mast 1;;05:43;06:48;;07:48;07:48;08:48;08:48;09:48;09:48;10:48;10:48;11:48;11:48;12:48;12:48;13:48;13:48;14:48;14:48;15:48;;16:48;17:48;18:48;
Weingarten, Thumbstraße, Mast 1;;05:44;06:49;;07:49;07:49;08:49;08:49;09:49;09:49;10:49;10:49;11:49;11:49;12:49;12:49;13:49;13:49;14:49;14:49;15:49;;16:49;17:49;18:49;
Weingarten, Greisingstraße, Mast 1;;05:45;06:50;;07:50;07:50;08:50;08:50;09:50;09:50;10:50;10:50;11:50;11:50;12:50;12:50;13:50;13:50;14:50;14:50;15:50;;16:50;17:50;18:50;
Weingarten, Corbellinistraße, Mast 1;;05:46;06:51;;07:51;07:51;08:51;08:51;09:51;09:51;10:51;10:51;11:51;11:51;12:51;12:51;13:51;13:51;14:51;14:51;15:51;;16:51;17:51;18:51;
Weingarten, Marienfriedhof, Mast 1;;05:47;06:52;;07:52;07:52;08:52;08:52;09:52;09:52;10:52;10:52;11:52;11:52;12:52;12:52;13:52;13:52;14:52;14:52;15:52;;16:52;17:52;18:52;
Weingarten, Marienkirche, Mast 2;;05:48;06:53;;07:53;07:53;08:53;08:53;09:53;09:53;10:53;10:53;11:53;11:53;12:53;12:53;13:53;13:53;14:53;14:53;15:53;;16:53;17:53;18:53;
Weingarten, St.-Konrad-Str., Mast 2;;05:49;06:54;;07:54;07:54;08:54;08:54;09:54;09:54;10:54;10:54;11:54;11:54;12:54;12:54;13:54;13:54;14:54;14:54;15:54;;16:54;17:54;18:54;
Weingarten, Im Alten Stadion, Mast 2;;05:50;06:55;;07:55;07:55;08:55;08:55;09:55;09:55;10:55;10:55;11:55;11:55;12:55;12:55;13:55;13:55;14:55;14:55;15:55;;16:55;17:55;18:55;
Weingarten, Charlottenplatz, Mast 2;;05:51;06:56;;07:56;07:56;08:56;08:56;09:56;09:56;10:56;10:56;11:56;11:56;12:56;12:56;13:56;13:56;14:56;14:56;15:56;;16:56;17:56;18:56;
