Fußnoten für Fahrplanbuch;[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodnegg, Schule, Mast 1;05:25;06:01;06:31;;06:41;07:01;07:01;;07:31;08:01;08:01;08:15;08:31;09:01;09:01;10:01;10:15;10:31;11:31;11:31;;12:15;12:31;12:31;;13:31;13:31;14:01;14:15;14:31;14:31;15:31;15:31;16:01;16:15;16:31;16:31;17:01;17:31;17:31;18:01;18:15;18:31;19:01;19:01;20:01;20:01;20:15;21:01;21:01;22:01;22:01;22:15;23:01;23:01;00:01;00:01;00:01;01:01;01:01
Bodnegg, Engel, Mast 2;05:26;06:02;06:32;;06:42;07:02;07:02;;07:32;08:02;08:02;08:16;08:32;09:02;09:02;10:02;10:16;10:32;11:32;11:32;;12:16;12:32;12:32;;13:32;13:32;14:02;14:16;14:32;14:32;15:32;15:32;16:02;16:16;16:32;16:32;17:02;17:32;17:32;18:02;18:16;18:32;19:02;19:02;20:02;20:02;20:16;21:02;21:02;22:02;22:02;22:16;23:02;23:02;00:02;00:02;00:02;01:02;01:02
Bodnegg Widdum, Mast 2;05:27;06:03;06:33;;06:43;07:03;07:03;;07:33;08:03;08:03;08:17;08:33;09:03;09:03;10:03;10:17;10:33;11:33;11:33;;12:17;12:33;12:33;;13:33;13:33;14:03;14:17;14:33;14:33;15:33;15:33;16:03;16:17;16:33;16:33;17:03;17:33;17:33;18:03;18:17;18:33;19:03;19:03;20:03;20:03;20:17;21:03;21:03;22:03;22:03;22:17;23:03;23:03;00:03;00:03;00:03;01:03;01:03
Bodnegg Rosenharz, Mast 2;05:28;06:04;06:34;;06:44;07:04;07:04;;07:34;08:04;08:04;08:18;08:34;09:04;09:04;10:04;10:18;10:34;11:34;11:34;;12:18;12:34;12:34;;13:34;13:34;14:04;14:18;14:34;14:34;15:34;15:34;16:04;16:18;16:34;16:34;17:04;17:34;17:34;18:04;18:18;18:34;19:04;19:04;20:04;20:04;20:18;21:04;21:04;22:04;22:04;22:18;23:04;23:04;00:04;00:04;00:04;01:04;01:04
Bodnegg, Abzw. Wollmarshofen, Mast 2;05:29;06:05;06:35;;06:45;07:05;07:05;;07:35;08:05;08:05;08:19;08:35;09:05;09:05;10:05;10:19;10:35;11:35;11:35;;12:19;12:35;12:35;;13:35;13:35;14:05;14:19;14:35;14:35;15:35;15:35;16:05;16:19;16:35;16:35;17:05;17:35;17:35;18:05;18:19;18:35;19:05;19:05;20:05;20:05;20:19;21:05;21:05;22:05;22:05;22:19;23:05;23:05;00:05;00:05;00:05;01:05;01:05
Grünkraut, Sigmarshofen, Mast 2;05:30;06:06;06:36;;06:46;07:06;07:06;;07:36;08:06;08:06;08:20;08:36;09:06;09:06;10:06;10:20;10:36;11:36;11:36;;12:20;12:36;12:36;;13:36;13:36;14:06;14:20;14:36;14:36;15:36;15:36;16:06;16:20;16:36;16:36;17:06;17:36;17:36;18:06;18:20;18:36;19:06;19:06;20:06;20:06;20:20;21:06;21:06;22:06;22:06;22:20;23:06;23:06;00:06;00:06;00:06;01:06;01:06
Grünkraut, Hübschenberg, Mast 2;05:31;06:07;06:37;;06:47;07:07;07:07;;07:37;08:07;08:07;08:21;08:37;09:07;09:07;10:07;10:21;10:37;11:37;11:37;;12:21;12:37;12:37;;13:37;13:37;14:07;14:21;14:37;14:37;15:37;15:37;16:07;16:21;16:37;16:37;17:07;17:37;17:37;18:07;18:21;18:37;19:07;19:07;20:07;20:07;20:21;21:07;21:07;22:07;22:07;22:21;23:07;23:07;00:07;00:07;00:07;01:07;01:07
Grünkraut, Festhalle, Mast 2;05:33;06:09;06:39;06:45;06:49;07:09;07:09;07:23;07:39;08:09;08:09;08:22;08:39;09:09;09:09;10:09;10:22;10:39;11:39;11:39;12:09;12:22;12:39;12:39;13:09;13:39;13:39;14:09;14:22;14:39;14:39;15:39;15:39;16:09;16:22;16:39;16:39;17:09;17:39;17:39;18:09;18:22;18:39;19:09;19:09;20:09;20:09;20:22;21:09;21:09;22:09;22:09;22:22;23:09;23:09;00:09;00:09;00:09;01:09;01:09
Grünkraut, Ortsmitte, Mast 2;05:35;06:11;06:41;06:46;06:51;07:11;07:11;07:24;07:41;08:11;08:11;08:23;08:41;09:11;09:11;10:11;10:23;10:41;11:41;11:41;12:11;12:23;12:41;12:41;13:11;13:41;13:41;14:11;14:23;14:41;14:41;15:41;15:41;16:11;16:23;16:41;16:41;17:11;17:41;17:41;18:11;18:23;18:41;19:11;19:11;20:11;20:11;20:23;21:11;21:11;22:11;22:11;22:23;23:11;23:11;00:11;00:11;00:11;01:11;01:11
Grünkraut, Herrenfeld 1, Mast 2;05:36;06:12;06:42;06:47;06:52;07:12;07:12;07:25;07:42;08:12;08:12;08:24;08:42;09:12;09:12;10:12;10:24;10:42;11:42;11:42;12:12;12:24;12:42;12:42;13:12;13:42;13:42;14:12;14:24;14:42;14:42;15:42;15:42;16:12;16:24;16:42;16:42;17:12;17:42;17:42;18:12;18:24;18:42;19:12;19:12;20:12;20:12;20:24;21:12;21:12;22:12;22:12;22:24;23:12;23:12;00:12;00:12;00:12;01:12;01:12
Grünkraut, Herrenfeld 2, Mast 2;05:37;06:13;06:43;06:48;06:53;07:13;07:13;07:26;07:43;08:13;08:13;08:25;08:43;09:13;09:13;10:13;10:25;10:43;11:43;11:43;12:13;12:25;12:43;12:43;13:13;13:43;13:43;14:13;14:25;14:43;14:43;15:43;15:43;16:13;16:25;16:43;16:43;17:13;17:43;17:43;18:13;18:25;18:43;19:13;19:13;20:13;20:13;20:25;21:13;21:13;22:13;22:13;22:25;23:13;23:13;00:13;00:13;00:13;01:13;01:13
Grünkraut Gullen, Sonnenhof, Mast 2;05:38;06:14;06:44;06:49;06:54;07:14;07:14;07:27;07:44;08:14;08:14;08:26;08:44;09:14;09:14;10:14;10:26;10:44;11:44;11:44;12:14;12:26;12:44;12:44;13:14;13:44;13:44;14:14;14:26;14:44;14:44;15:44;15:44;16:14;16:26;16:44;16:44;17:14;17:44;17:44;18:14;18:26;18:44;19:14;19:14;20:14;20:14;20:26;21:14;21:14;22:14;22:14;22:26;23:14;23:14;00:14;00:14;00:14;01:14;01:14
Grünkraut Gullen, Kindt, Mast 2;05:39;06:15;06:45;06:50;06:55;07:15;07:15;07:28;07:45;08:15;08:15;08:27;08:45;09:15;09:15;10:15;10:27;10:45;11:45;11:45;12:15;12:27;12:45;12:45;13:15;13:45;13:45;14:15;14:27;14:45;14:45;15:45;15:45;16:15;16:27;16:45;16:45;17:15;17:45;17:45;18:15;18:27;18:45;19:15;19:15;20:15;20:15;20:27;21:15;21:15;22:15;22:15;22:27;23:15;23:15;00:15;00:15;00:15;01:15;01:15
Grünkraut, Staig, Mast 2;05:40;06:16;06:46;06:51;06:56;07:16;07:16;07:29;07:46;08:16;08:16;08:28;08:46;09:16;09:16;10:16;10:28;10:46;11:46;11:46;12:16;12:28;12:46;12:46;13:16;13:46;13:46;14:16;14:28;14:46;14:46;15:46;15:46;16:16;16:28;16:46;16:46;17:16;17:46;17:46;18:16;18:28;18:46;19:16;19:16;20:16;20:16;20:28;21:16;21:16;22:16;22:16;22:28;23:16;23:16;00:16;00:16;00:16;01:16;01:16
RV, Knollengraben, Mast 2;05:41;06:17;06:47;06:52;06:57;07:17;07:17;07:30;07:47;08:17;08:17;08:29;08:47;09:17;09:17;10:17;10:29;10:47;11:47;11:47;12:17;12:29;12:47;12:47;13:17;13:47;13:47;14:17;14:29;14:47;14:47;15:47;15:47;16:17;16:29;16:47;16:47;17:17;17:47;17:47;18:17;18:29;18:47;19:17;19:17;20:17;20:17;20:29;21:17;21:17;22:17;22:17;22:29;23:17;23:17;00:17;00:17;00:17;01:17;01:17
Ravensburg, Abzw. Flappach, Mast 2;05:42;06:18;06:48;06:53;06:58;07:18;07:18;07:31;07:48;08:18;08:18;08:30;08:48;09:18;09:18;10:18;10:30;10:48;11:48;11:48;12:18;12:30;12:48;12:48;13:18;13:48;13:48;14:18;14:30;14:48;14:48;15:48;15:48;16:18;16:30;16:48;16:48;17:18;17:48;17:48;18:18;18:30;18:48;19:18;19:18;20:18;20:18;20:30;21:18;21:18;22:18;22:18;22:30;23:18;23:18;00:18;00:18;00:18;01:18;01:18
Ravensburg, Schornreute, Mast 2;05:43;06:19;06:49;06:54;06:59;07:19;07:19;07:32;07:49;08:19;08:19;08:31;08:49;09:19;09:19;10:19;10:31;10:49;11:49;11:49;12:19;12:31;12:49;12:49;13:19;13:49;13:49;14:19;14:31;14:49;14:49;15:49;15:49;16:19;16:31;16:49;16:49;17:19;17:49;17:49;18:19;18:31;18:49;19:19;19:19;20:19;20:19;20:31;21:19;21:19;22:19;22:19;22:31;23:19;23:19;00:19;00:19;00:19;01:19;01:19
Ravensburg, Abzw. Hinzistobel, Mast 2;05:44;06:20;06:50;06:55;07:00;07:20;07:20;07:33;07:50;08:20;08:20;08:32;08:50;09:20;09:20;10:20;10:32;10:50;11:50;11:50;12:20;12:32;12:50;12:50;13:20;13:50;13:50;14:20;14:32;14:50;14:50;15:50;15:50;16:20;16:32;16:50;16:50;17:20;17:50;17:50;18:20;18:32;18:50;19:20;19:20;20:20;20:20;20:32;21:20;21:20;22:20;22:20;22:32;23:20;23:20;00:20;00:20;00:20;01:20;01:20
Ravensburg, Gänsbühl, Mast 2;05:46;06:22;06:52;06:56;07:02;07:22;07:22;07:35;07:52;08:22;08:22;08:33;08:52;09:22;09:22;10:22;10:33;10:52;11:52;11:52;12:22;12:33;12:52;12:52;13:22;13:52;13:52;14:22;14:33;14:52;14:52;15:52;15:52;16:22;16:33;16:52;16:52;17:22;17:52;17:52;18:22;18:33;18:52;19:22;19:22;20:22;20:22;20:33;21:22;21:22;22:22;22:22;22:33;23:22;23:22;00:22;00:22;00:22;01:22;01:22
Ravensburg, Wilhelmstraße, Mast 2;05:49;06:25;06:55;06:58;07:05;07:25;07:25;07:38;07:55;08:25;08:25;08:35;08:55;09:25;09:25;10:25;10:35;10:55;11:55;11:55;12:25;12:35;12:55;12:55;13:25;13:55;13:55;14:25;14:35;14:55;14:55;15:55;15:55;16:25;16:35;16:55;16:55;17:25;17:55;17:55;18:25;18:35;18:55;19:25;19:25;20:25;20:25;20:35;21:25;21:25;22:25;22:25;22:35;23:25;23:25;00:25;00:25;00:25;01:25;01:25
Ravensburg, Bahnhof, Mast 11;05:51;06:27;06:57;07:00;-;07:27;07:27;-;07:57;08:27;08:27;08:37;08:57;09:27;09:27;10:27;10:37;10:57;11:57;11:57;12:27;12:37;12:57;12:57;13:27;13:57;13:57;14:27;14:37;14:57;14:57;15:57;15:57;16:27;16:37;16:57;16:57;17:27;17:57;17:57;18:27;18:37;18:57;19:27;19:27;20:27;20:27;20:37;21:27;21:27;22:27;22:27;22:37;23:27;23:27;00:27;00:27;00:27;01:27;01:27
RV, Bildungszentrum St.Konrad, Mast 8;;;;;07:15;;07:40;07:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
