Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ravensburg, Polizeipr‰sidium, Mast 1;;;;;;;;07:11;07:11;;;;08:21;;;;;;;;10:51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20:21;22:20;22:20;23:44;23:44;01:28;01:28
Ravensburg, Frauentor, Mast 1;;;;;;06:14;;07:14;07:14;;;;08:24;;;;;;;;10:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20:24;22:23;22:23;23:47;23:47;01:31;01:31
Ravensburg, Bahnhof, Mast 5;;05:07;05:46;06:07;06:17;06:25;06:48;07:17;07:17;;;07:57;08:27;;;;;;;;10:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20:27;22:26;22:26;23:50;23:50;01:34;01:34
Weingarten, Schulzentrum, Mast 1;;-;-;-;-;-;-;-;-;;;-;-;;;;;;;;-;;;;;12:15;;;12:50;;;;;;;;;;;;;;;;;;;;;-;-;-;-;-;-;-
Weingarten, Charlottenplatz, Mast 3;;-;-;-;-;-;-;-;-;;;-;-;;;;;;;;-;;;;;12:16;;;12:51;;;;;;;;;;;;;;;;;;;;;-;-;-;-;-;-;-
RV, Bildungszentrum St.Konrad, Mast 1;;-;-;-;-;-;-;-;-;;;-;-;;;;;;;;-;;11:46;;;12:21;;;-;13:18;;;;;;;;;;16:18;;;;;;;;;;-;-;-;-;-;-;-
Ravensburg, Polizeipr‰sidium, Mast 1;;-;-;-;-;-;-;-;-;;;-;-;08:21;08:21;08:51;09:21;09:51;09:51;10:21;-;11:21;11:51;11:51;11:51;12:24;12:51;;12:57;13:21;13:21;13:51;13:51;14:51;15:21;15:21;15:21;15:51;15:51;16:21;16:21;16:51;17:21;17:51;17:51;18:21;18:21;18:51;19:21;-;-;-;-;-;-;-
Ravensburg, Frauentor, Mast 1;;-;-;-;-;-;-;-;-;07:54;07:54;-;-;08:24;08:24;08:54;09:24;09:54;09:54;10:24;-;11:24;11:54;11:54;11:54;12:27;12:54;12:54;-;13:24;13:24;13:54;13:54;14:54;15:24;15:24;15:24;15:54;15:54;16:24;16:24;16:54;17:24;17:54;17:54;18:24;18:24;18:54;19:24;-;-;-;-;-;-;-
Ravensburg, Bahnhof, Mast 5;an;-;-;-;-;-;-;-;-;07:57;07:57;-;-;08:27;08:27;08:57;09:27;09:57;09:57;10:27;-;11:27;11:57;11:57;11:57;12:30;12:57;12:57;-;13:27;13:27;13:57;13:57;14:57;15:27;15:27;15:27;15:57;15:57;16:27;16:27;16:57;17:27;17:57;17:57;18:27;18:27;18:57;19:27;-;-;-;-;-;-;-
