Fahrtlänge;4937;4937;5454;4937;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;5454;4937;4937;5454;5454;4937;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;5454;4937;4937;4937;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423
Fahrtnummer;7307002;7307102;7307102;7307202;7307002;7307202;7307002;7307102;7307202;7307006;7307106;7307206;7307006;7307206;7307106;7307006;7307206;7307106;7307110;7307010;7307210;7307010;7307110;7307210;7307110;7307010;7307210;7307014;7307114;7307214;7307114;7307214;7307014;7307014;7307214;7307114;7307018;7307118;7307018;7307218;7307118;7307218;7307018;7307218;7307118;7307022;7307122;7307222;7307022;7307122;7307222;7307022;7307122;7307222;7307026;7307126;7307026;7307226;7307226;7307126;7307026;7307126;7307226;7307030;7307130;7307230;7307030;7307230;7307130;7307130;7307030;7307230;7307034;7307234;7307134;7307034;7307134;7307234;7307034;7307234;7307134;7307038;7307138;7307238;7307038;7307238;7307138;7307238;7307138;7307038
Fußnoten für Fahrplanbuch;[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];[2];[2];[2];[2];[2];[2];[2];[2];[2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ravensburg, Flappachbad, Mast 1;10:25;10:25;10:25;10:25;10:25;10:25;10:28;10:28;10:28;11:25;11:25;11:25;11:25;11:25;11:25;11:28;11:28;11:28;12:25;12:25;12:25;12:25;12:25;12:25;12:28;12:28;12:28;13:25;13:25;13:25;13:25;13:25;13:25;13:28;13:28;13:28;14:25;14:25;14:25;14:25;14:25;14:25;14:28;14:28;14:28;15:25;15:25;15:25;15:25;15:25;15:25;15:28;15:28;15:28;16:25;16:25;16:25;16:25;16:25;16:25;16:28;16:28;16:28;17:25;17:25;17:25;17:25;17:25;17:25;17:28;17:28;17:28;18:25;18:25;18:25;18:25;18:25;18:25;18:28;18:28;18:28;19:25;19:25;19:25;19:25;19:25;19:25;19:28;19:28;19:28
Ravensburg, Abzw. Flappach, Mast 3;f E 10:28;f E 10:28;f E 10:28;f E 10:28;f E 10:28;f E 10:28;f E 10:31;f E 10:31;f E 10:31;f E 11:28;f E 11:28;f E 11:28;f E 11:28;f E 11:28;f E 11:28;f E 11:31;f E 11:31;f E 11:31;f E 12:28;f E 12:28;f E 12:28;f E 12:28;f E 12:28;f E 12:28;f E 12:31;f E 12:31;f E 12:31;f E 13:28;f E 13:28;f E 13:28;f E 13:28;f E 13:28;f E 13:28;f E 13:31;f E 13:31;f E 13:31;f E 14:28;f E 14:28;f E 14:28;f E 14:28;f E 14:28;f E 14:28;f E 14:31;f E 14:31;f E 14:31;f E 15:28;f E 15:28;f E 15:28;f E 15:28;f E 15:28;f E 15:28;f E 15:31;f E 15:31;f E 15:31;f E 16:28;f E 16:28;f E 16:28;f E 16:28;f E 16:28;f E 16:28;f E 16:31;f E 16:31;f E 16:31;f E 17:28;f E 17:28;f E 17:28;f E 17:28;f E 17:28;f E 17:28;f E 17:31;f E 17:31;f E 17:31;f E 18:28;f E 18:28;f E 18:28;f E 18:28;f E 18:28;f E 18:28;f E 18:31;f E 18:31;f E 18:31;f E 19:28;f E 19:28;f E 19:28;f E 19:28;f E 19:28;f E 19:28;f E 19:31;f E 19:31;f E 19:31
Ravensburg, Schornreute, Mast 2;f E 10:29;f E 10:29;f E 10:29;f E 10:29;f E 10:29;f E 10:29;f E 10:33;f E 10:33;f E 10:33;f E 11:29;f E 11:29;f E 11:29;f E 11:29;f E 11:29;f E 11:29;f E 11:33;f E 11:33;f E 11:33;f E 12:29;f E 12:29;f E 12:29;f E 12:29;f E 12:29;f E 12:29;f E 12:33;f E 12:33;f E 12:33;f E 13:29;f E 13:29;f E 13:29;f E 13:29;f E 13:29;f E 13:29;f E 13:33;f E 13:33;f E 13:33;f E 14:29;f E 14:29;f E 14:29;f E 14:29;f E 14:29;f E 14:29;f E 14:33;f E 14:33;f E 14:33;f E 15:29;f E 15:29;f E 15:29;f E 15:29;f E 15:29;f E 15:29;f E 15:33;f E 15:33;f E 15:33;f E 16:29;f E 16:29;f E 16:29;f E 16:29;f E 16:29;f E 16:29;f E 16:33;f E 16:33;f E 16:33;f E 17:29;f E 17:29;f E 17:29;f E 17:29;f E 17:29;f E 17:29;f E 17:33;f E 17:33;f E 17:33;f E 18:29;f E 18:29;f E 18:29;f E 18:29;f E 18:29;f E 18:29;f E 18:33;f E 18:33;f E 18:33;f E 19:29;f E 19:29;f E 19:29;f E 19:29;f E 19:29;f E 19:29;f E 19:33;f E 19:33;f E 19:33
Ravensburg, Abzw. Hinzistobel, Mast 2;f E 10:30;f E 10:30;f E 10:30;f E 10:30;f E 10:30;f E 10:30;f E 10:34;f E 10:34;f E 10:34;f E 11:30;f E 11:30;f E 11:30;f E 11:30;f E 11:30;f E 11:30;f E 11:34;f E 11:34;f E 11:34;f E 12:30;f E 12:30;f E 12:30;f E 12:30;f E 12:30;f E 12:30;f E 12:34;f E 12:34;f E 12:34;f E 13:30;f E 13:30;f E 13:30;f E 13:30;f E 13:30;f E 13:30;f E 13:34;f E 13:34;f E 13:34;f E 14:30;f E 14:30;f E 14:30;f E 14:30;f E 14:30;f E 14:30;f E 14:34;f E 14:34;f E 14:34;f E 15:30;f E 15:30;f E 15:30;f E 15:30;f E 15:30;f E 15:30;f E 15:34;f E 15:34;f E 15:34;f E 16:30;f E 16:30;f E 16:30;f E 16:30;f E 16:30;f E 16:30;f E 16:34;f E 16:34;f E 16:34;f E 17:30;f E 17:30;f E 17:30;f E 17:30;f E 17:30;f E 17:30;f E 17:34;f E 17:34;f E 17:34;f E 18:30;f E 18:30;f E 18:30;f E 18:30;f E 18:30;f E 18:30;f E 18:34;f E 18:34;f E 18:34;f E 19:30;f E 19:30;f E 19:30;f E 19:30;f E 19:30;f E 19:30;f E 19:34;f E 19:34;f E 19:34
Ravensburg, Gänsbühl, Mast 2;f E 10:31;f E 10:31;f E 10:31;f E 10:31;f E 10:31;f E 10:31;f E 10:36;f E 10:36;f E 10:36;f E 11:31;f E 11:31;f E 11:31;f E 11:31;f E 11:31;f E 11:31;f E 11:36;f E 11:36;f E 11:36;f E 12:31;f E 12:31;f E 12:31;f E 12:31;f E 12:31;f E 12:31;f E 12:36;f E 12:36;f E 12:36;f E 13:31;f E 13:31;f E 13:31;f E 13:31;f E 13:31;f E 13:31;f E 13:36;f E 13:36;f E 13:36;f E 14:31;f E 14:31;f E 14:31;f E 14:31;f E 14:31;f E 14:31;f E 14:36;f E 14:36;f E 14:36;f E 15:31;f E 15:31;f E 15:31;f E 15:31;f E 15:31;f E 15:31;f E 15:36;f E 15:36;f E 15:36;f E 16:31;f E 16:31;f E 16:31;f E 16:31;f E 16:31;f E 16:31;f E 16:36;f E 16:36;f E 16:36;f E 17:31;f E 17:31;f E 17:31;f E 17:31;f E 17:31;f E 17:31;f E 17:36;f E 17:36;f E 17:36;f E 18:31;f E 18:31;f E 18:31;f E 18:31;f E 18:31;f E 18:31;f E 18:36;f E 18:36;f E 18:36;f E 19:31;f E 19:31;f E 19:31;f E 19:31;f E 19:31;f E 19:31;f E 19:36;f E 19:36;f E 19:36
Ravensburg, Wilhelmstraße, Mast 2;f E 10:33;f E 10:33;-;f E 10:33;-;-;f E 10:38;f E 10:38;f E 10:38;f E 11:33;f E 11:33;f E 11:33;-;-;-;f E 11:38;f E 11:38;f E 11:38;f E 12:33;f E 12:33;f E 12:33;-;-;-;f E 12:38;f E 12:38;f E 12:38;f E 13:33;f E 13:33;f E 13:33;-;-;-;f E 13:38;f E 13:38;f E 13:38;-;f E 14:33;f E 14:33;-;-;f E 14:33;f E 14:38;f E 14:38;f E 14:38;f E 15:33;f E 15:33;f E 15:33;-;-;-;f E 15:38;f E 15:38;f E 15:38;-;f E 16:33;f E 16:33;f E 16:33;-;-;f E 16:38;f E 16:38;f E 16:38;f E 17:33;f E 17:33;f E 17:33;-;-;-;f E 17:38;f E 17:38;f E 17:38;f E 18:33;f E 18:33;f E 18:33;-;-;-;f E 18:38;f E 18:38;f E 18:38;f E 19:33;f E 19:33;f E 19:33;-;-;-;f E 19:38;f E 19:38;f E 19:38
Ravensburg, Frauentor, Mast 2;-;-;f E 10:34;-;f E 10:34;f E 10:34;f E 10:39;f E 10:39;f E 10:39;-;-;-;f E 11:34;f E 11:34;f E 11:34;f E 11:39;f E 11:39;f E 11:39;-;-;-;f E 12:34;f E 12:34;f E 12:34;f E 12:39;f E 12:39;f E 12:39;-;-;-;f E 13:34;f E 13:34;f E 13:34;f E 13:39;f E 13:39;f E 13:39;f E 14:34;-;-;f E 14:34;f E 14:34;-;f E 14:39;f E 14:39;f E 14:39;-;-;-;f E 15:34;f E 15:34;f E 15:34;f E 15:39;f E 15:39;f E 15:39;f E 16:34;-;-;-;f E 16:34;f E 16:34;f E 16:39;f E 16:39;f E 16:39;-;-;-;f E 17:34;f E 17:34;f E 17:34;f E 17:39;f E 17:39;f E 17:39;-;-;-;f E 18:34;f E 18:34;f E 18:34;f E 18:39;f E 18:39;f E 18:39;-;-;-;f E 19:34;f E 19:34;f E 19:34;f E 19:39;f E 19:39;f E 19:39
Ravensburg, Möttelinstraße (Ersatzhalt), Mast 2;-;-;f E 10:35;-;f E 10:35;f E 10:35;f E 10:40;f E 10:40;f E 10:40;-;-;-;f E 11:35;f E 11:35;f E 11:35;f E 11:40;f E 11:40;f E 11:40;-;-;-;f E 12:35;f E 12:35;f E 12:35;f E 12:40;f E 12:40;f E 12:40;-;-;-;f E 13:35;f E 13:35;f E 13:35;f E 13:40;f E 13:40;f E 13:40;f E 14:35;-;-;f E 14:35;f E 14:35;-;f E 14:40;f E 14:40;f E 14:40;-;-;-;f E 15:35;f E 15:35;f E 15:35;f E 15:40;f E 15:40;f E 15:40;f E 16:35;-;-;-;f E 16:35;f E 16:35;f E 16:40;f E 16:40;f E 16:40;-;-;-;f E 17:35;f E 17:35;f E 17:35;f E 17:40;f E 17:40;f E 17:40;-;-;-;f E 18:35;f E 18:35;f E 18:35;f E 18:40;f E 18:40;f E 18:40;-;-;-;f E 19:35;f E 19:35;f E 19:35;f E 19:40;f E 19:40;f E 19:40
Ravensburg, Bahnhof, Mast 14;-;-;f E 10:39;-;f E 10:39;f E 10:39;f E 10:44;f E 10:44;f E 10:44;-;-;-;f E 11:39;f E 11:39;f E 11:39;f E 11:44;f E 11:44;f E 11:44;-;-;-;f E 12:39;f E 12:39;f E 12:39;f E 12:44;f E 12:44;f E 12:44;-;-;-;f E 13:39;f E 13:39;f E 13:39;f E 13:44;f E 13:44;f E 13:44;f E 14:39;-;-;f E 14:39;f E 14:39;-;f E 14:44;f E 14:44;f E 14:44;-;-;-;f E 15:39;f E 15:39;f E 15:39;f E 15:44;f E 15:44;f E 15:44;f E 16:39;-;-;-;f E 16:39;f E 16:39;f E 16:44;f E 16:44;f E 16:44;-;-;-;f E 17:39;f E 17:39;f E 17:39;f E 17:44;f E 17:44;f E 17:44;-;-;-;f E 18:39;f E 18:39;f E 18:39;f E 18:44;f E 18:44;f E 18:44;-;-;-;f E 19:39;f E 19:39;f E 19:39;f E 19:44;f E 19:44;f E 19:44
Ravensburg, Bahnhof, Mast 10;f E 10:36;f E 10:36;;f E 10:36;;;;;;f E 11:36;f E 11:36;f E 11:36;;;;;;;f E 12:36;f E 12:36;f E 12:36;;;;;;;f E 13:36;f E 13:36;f E 13:36;;;;;;;;f E 14:36;f E 14:36;;;f E 14:36;;;;f E 15:36;f E 15:36;f E 15:36;;;;;;;;f E 16:36;f E 16:36;f E 16:36;;;;;;f E 17:36;f E 17:36;f E 17:36;;;;;;;f E 18:36;f E 18:36;f E 18:36;;;;;;;f E 19:36;f E 19:36;f E 19:36;;;;;;
