Fahrtnummer;7320009;7320001;7320061;7320003;7320047;7320043;7320005;7320045;7320007;7320069;7320031;7320049;7320033;7320011;7320051;7320035;7320073;7320037;7320013;7320053;7320015;7320055;7320017;7320019;7320021;7320023;7320077;7320025;7320057;7320027;7320039;7320071;7320059;7320029
Fußnoten für Fahrplanbuch;[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weingarten, Charlottenplatz, Mast 1;05:10;06:10;06:40;07:10;07:40;08:40;09:10;09:40;10:10;10:50;11:10;11:10;;12:10;12:10;;12:50;12:50;13:10;13:10;13:22;14:10;14:40;15:40;15:55;16:40;16:50;17:40;18:40;18:40;20:40;20:50;23:40;23:40
Baienfurt, Achtalschule, Mast 2;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;;-;13:00;-;-;13:25;-;-;-;-;-;-;-;-;-;-;-;-;-
Weingarten, Welte Nord/Bechters, Mast 1;05:11;06:11;06:41;07:11;07:41;08:41;09:11;09:41;10:11;10:51;11:11;11:11;;12:11;12:11;;12:51;-;13:11;13:11;-;14:11;14:42;15:42;15:57;16:42;16:51;17:42;18:41;18:42;20:42;20:51;23:41;23:42
Baienfurt, Achtalschule, Mast 2;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;;-;-;-;-;-;-;-;-;16:00;-;-;-;-;-;-;-;-;-
Baienfurt, Rainpadent, Mast 1;05:15;06:15;06:45;07:15;07:45;08:45;09:15;09:45;10:15;10:53;11:15;11:15;;12:15;12:15;;12:53;13:05;13:15;13:15;13:26;14:15;14:43;15:43;-;16:43;16:53;17:43;18:45;18:43;20:43;20:53;23:45;23:43
Baindt, Schachen, Mast 1;05:16;06:16;06:46;07:16;07:46;08:46;09:16;09:46;10:16;10:54;11:16;11:16;;12:16;12:16;;12:54;13:06;13:16;13:16;13:27;14:16;14:44;15:44;16:04;16:44;16:54;17:44;18:46;18:44;20:44;20:54;23:46;23:44
Baindt Wickenhaus, Dachser, Mast 1;05:17;06:17;06:47;07:17;07:47;08:47;09:17;09:47;10:17;10:55;11:17;11:17;;12:17;12:17;;12:55;13:07;13:17;13:17;13:28;14:17;14:45;15:45;16:05;16:45;16:55;17:45;18:47;18:45;20:45;20:55;23:47;23:45
Baindt, Abzw.Sulpach, Mast 1;05:18;06:18;06:48;07:18;07:48;08:48;09:18;09:48;10:18;10:56;11:18;11:18;;12:18;12:18;;12:56;13:08;13:18;13:18;13:29;14:18;14:46;15:46;16:06;16:46;16:56;17:46;18:48;18:46;20:46;20:56;23:48;23:46
Wolperts. Mochenwangen, Jäger, Mast 2;05:19;06:19;06:49;07:19;07:49;08:49;09:19;09:49;10:19;10:58;11:19;11:19;;12:19;12:19;;12:58;13:11;13:19;13:19;13:30;14:19;14:50;15:50;16:07;16:50;16:58;17:50;18:49;18:50;20:50;20:58;23:49;23:50
Wolperts. Mochenw, Alte Kirche, Mast 2;05:20;06:20;06:50;07:20;07:50;08:50;09:20;09:50;10:20;10:59;11:20;11:20;;12:20;12:20;;12:59;13:12;13:20;13:20;13:31;14:20;14:51;15:51;16:08;16:51;16:59;17:51;18:50;18:51;20:51;20:59;23:50;23:51
Wolperts. Mochenwangen, Schule, Mast 1;-;-;-;-;-;-;-;-;-;-;-;-;11:35;-;-;12:30;-;13:15;-;-;-;-;-;-;16:15;-;-;-;-;-;-;-;-;-
Wolperts. Mochenwangen, Adler, Mast 2;05:21;06:21;06:51;07:21;07:51;08:51;09:21;09:51;10:21;11:00;11:21;11:21;11:36;12:21;12:21;12:31;13:00;13:16;13:21;13:21;13:32;14:21;14:52;15:52;-;16:52;17:00;17:52;18:51;18:52;20:52;21:00;23:51;23:52
Wolperts. Mochenw, Krummensbach, Mast 1;05:22;06:22;06:52;07:22;07:52;08:52;09:22;09:52;10:22;11:01;11:22;11:22;11:37;12:22;12:22;12:32;13:01;13:17;13:22;13:22;-;14:22;14:53;15:53;16:17;16:53;17:01;17:53;18:52;18:53;20:53;21:01;23:52;23:53
Wolpertswende, Steinhausener Weg, Mast 1;05:23;06:23;06:53;07:23;07:53;08:53;09:23;09:53;10:23;11:02;11:23;11:23;11:38;12:23;12:23;12:33;13:02;13:18;13:23;13:23;-;14:23;14:54;15:54;16:18;16:54;17:02;17:54;18:53;18:54;20:54;21:02;23:53;23:54
Wolpertswende, Stroppel, Mast 1;05:24;06:24;06:54;07:24;07:54;08:54;09:24;09:54;10:24;11:03;11:24;11:24;11:39;12:24;12:24;12:34;13:03;13:19;13:24;13:24;-;14:24;14:55;15:55;16:19;16:55;17:03;17:55;18:54;18:55;20:55;21:03;23:54;23:55
Wolpertswende, Rathaus, Mast 1;05:25;06:25;06:55;07:25;07:55;08:55;09:25;09:55;10:25;11:05;11:25;11:25;11:40;12:25;12:25;12:35;13:05;13:20;13:25;13:25;13:38;14:25;14:58;15:58;16:20;16:58;17:05;17:58;18:55;18:58;20:58;21:05;23:55;23:58
Wolpertswende Vorsee, Ort, Mast 1;;;;;;;;;;;;;11:45;;;12:40;;13:25;;;;;;;16:25;;;;;;;;;
