Linienvariante;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2
Route;4;4;4;4;4;4;4;4;5;4;4;4;4;5;4;4;4;3;5;4;4;3;4;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;4;5;4;4;4;4;4;4
Fahrzeitprofil;FZP8;FZP6;FZP1;FZP6;FZP6;FZP4;FZP6;FZP6;FZP1;FZP2;FZP6;FZP6;FZP6;FZP1;FZP6;FZP6;FZP6;FZP5;FZP1;FZP6;FZP6;FZP5;FZP1;FZP6;FZP6;FZP1;FZP6;FZP6;FZP6;FZP6;FZP6;FZP1;FZP6;FZP6;FZP6;FZP6;FZP6;FZP6;FZP1;FZP6;FZP6;FZP6;FZP6;FZP6;FZP1;FZP6;FZP6;FZP6;FZP6;FZP1;FZP6;FZP6;FZP6;FZP6;FZP6;FZP6
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;4 Fr, 2 Sa
Verkehrsbeschränkung;!;!;!;!;Na2;!;!;Na2;!;!;!;Na2;Na2;!;!;!;Na2;S;!;!;Na2;S;!;Na2;S;!;Na2;!;!;Na2;S;!;!;Na2;!;!;Na2;!;!;!;Na2;!;!;Na2;!;!;Na2;Na2;!;!;!;Na2;!;Na2;!;!
Planungsbedingung;;;;;;;;;;;;;;;;;;Schule;;;;Schule;;;Schule;;;;;;Schule;;;;;;;;;;;;;;;;;;;;;;;;;
Fahrtart;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;S;N;N;S;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT
Zielnummer der Route;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8070;8075;8075;8075;8070;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075;8075
Zieltext der Route;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Grünkraut;Bodnegg;Bodnegg;Bodnegg;Grünkraut;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg;Bodnegg
