Linienvariante;2;2;2UML2;2;2UML2;2UML2;2UML2;2;2;2;2UML2;2UML2;2;2;2;2UML2;2UML2;2UML2;2;2;2;2UML2;2UML2;2UML2;2UML2;2;2;2;2UML2;2UML2;2;2;2;2UML2;2UML2;2UML2;2;2;2;2UML2;2UML2;2UML2;2UML2;2;2;2UML2;2;2UML2;2;2;2;2UML2;2UML2;2UML2;2;2;2UML2;2;2UML2;2UML2
Route;1;1;3;1;3;3;3;1;1;1;3;3;1;1;1;3;3;3;1;1;1;3;3;3;3;1;1;1;3;3;1;1;1;3;3;3;1;1;1;3;3;3;3;1;1;3;1;3;1;1;1;3;3;3;1;1;3;1;3;3
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Verkehrsbeschränkung;!;!;79;!;!;93;!;!;!;!;93;79;!;!;!;!;91;93;!;!;!;93;79;!;!;!;!;!;93;91;!;!;!;93;79;!;!;!;!;79;93;!;!;!;!;93;!;91;!;!;!;79;!;93;!;!;79;!;!;93
Planungsbedingung;Bad & ~UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & ~UmlRVBP2;~RF & Bad & ~UmlRVBP;~RF & Bad & ~UmlRVBP;Bad & UmlRVBP2;Bad & UmlRVBP2;~RF & BadGar & ~UmlR;BadGar & ~UmlRVBP2;~RF & BadGar & ~UmlR;UmlRVBP2;UmlRVBP2;UmlRVBP2;Bad & ~UmlRVBP2;~RF & Bad & ~UmlRVBP;~RF & Bad & ~UmlRVBP;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;UmlRVBP2;~RF & BadGar & ~UmlR;BadGar & ~UmlRVBP2;~RF & BadGar & ~UmlR;UmlRVBP2;UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & ~UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & ~UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;UmlRVBP2;BadGar & ~UmlRVBP2;~RF & BadGar & ~UmlR;UmlRVBP2;~RF & BadGar & ~UmlR;UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & ~UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & ~UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & UmlRVBP2;~RF & Bad & ~UmlRVBP;Bad & UmlRVBP2;Bad & UmlRVBP2
Fahrtart;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;SOLO;GL;SOLO;GL;GL;SOLO;GL;SOLO;GL;GL;GL
Zielnummer der Route;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571;8571
Zieltext der Route;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus
Fahrtlänge;5369;5369;5392;5369;5392;5392;5392;5369;5369;5369;5392;5392;5369;5369;5369;5392;5392;5392;5369;5369;5369;5392;5392;5392;5392;5369;5369;5369;5392;5392;5369;5369;5369;5392;5392;5392;5369;5369;5369;5392;5392;5392;5392;5369;5369;5392;5369;5392;5369;5369;5369;5392;5392;5392;5369;5369;5392;5369;5392;5392
Fahrtnummer;7307001;7307101;7307001;7307201;7307101;7307201;7307105;7307005;7307105;7307205;7307205;7307005;7307109;7307009;7307209;7307009;7307109;7307209;7307013;7307113;7307213;7307213;7307013;7307113;7307017;7307117;7307017;7307217;7307217;7307117;7307121;7307021;7307221;7307221;7307021;7307121;7307125;7307025;7307225;7307025;7307225;7307125;7307029;7307029;7307129;7307229;7307229;7307129;7307233;7307033;7307133;7307033;7307133;7307233;7307037;7307137;7307037;7307237;7307137;7307237
Fußnoten für Fahrplanbuch;[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];[2];[2];[2];[2];[2];[2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];15 + [2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2];[2]
