Fronreute, Obelhofen2;;;;06:29;;;;06:59;;;;;07:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fleischwangen, Bachstraﬂe, Mast 2;05:34;;;06:32;;;;07:02;;;;;08:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fleischwangen, Kirche, Mast 2;05:36;;;06:34;;;06:46;07:04;;;;;08:04;;08:46;08:51;09:16;;09:46;;;;11:46;;;12:46;13:16;13:51;14:16;;;;;16:16;16:46;;17:16;;;18:16;;19:16;19:16;20:16;;23:06;23:06;00:50;00:50;;
Ebenweiler, Fleischwanger Str., Mast 2;05:41;;;06:39;;;06:51;07:09;;;;;08:09;;08:51;08:56;09:21;;09:51;;;;11:51;;;12:51;13:21;13:56;14:21;;;;;16:21;16:51;;17:21;;;18:21;;19:21;19:21;20:21;;23:11;23:11;00:55;00:55;;
Fronreute, Ruprechtsbruck2;05:43;;;06:41;;;06:53;07:11;;;;;08:11;;08:53;08:58;09:23;;09:53;;;;11:53;;;12:53;13:23;13:58;14:23;;;;;16:23;16:53;;17:23;;;18:23;;19:23;19:23;20:23;;23:13;23:13;00:57;00:57;;
Fronreute, Reute-Fronhofen2;05:45;;;06:43;;;06:55;07:13;;;;;08:13;;08:55;09:00;09:25;;09:55;;;;11:55;;;12:55;13:25;14:00;14:25;;;;;16:25;16:55;;17:25;;;18:25;;19:25;19:25;20:25;;23:15;23:15;00:59;00:59;;
Fronhofen, Rathaus, Mast 2;-;;;06:46;06:46;;-;07:16;;;;;-;;-;-;-;;-;;;;-;;;-;-;-;-;;;;;-;-;;-;;;-;;-;-;-;20:57;-;-;-;-;;
Fronhofen, Kirche, Mast 2;05:47;;;06:47;06:47;;06:57;07:17;;;;;08:17;;08:57;09:02;09:27;;09:57;;;;11:57;;;12:57;13:27;14:02;14:27;;;;;16:27;16:57;;17:27;;;18:27;;19:27;19:27;20:27;20:58;23:17;23:17;01:01;01:01;02:03;02:03
Fronreute, Bettenreute2;05:48;;;06:48;06:48;;06:58;07:18;;;;;08:18;;08:58;09:03;09:28;;09:58;;;;11:58;;;12:58;13:28;14:03;14:28;;;;;16:28;16:58;;17:28;;;18:28;;19:28;19:28;20:28;20:59;23:18;23:18;01:02;01:02;02:04;02:04
Fronreute, Geratsreute2;05:49;;;06:49;06:49;;06:59;07:19;;;;;08:19;;08:59;09:04;09:29;;09:59;;;;11:59;;;12:59;13:29;14:04;14:29;;;;;16:29;16:59;;17:29;;;18:29;;19:29;19:29;20:29;21:00;23:19;23:19;01:03;01:03;02:05;02:05
Fronreute Baienbach, Blitzenreuter Str., Mast 1;-;;;-;-;;-;-;;;;;-;;-;-;-;;-;;;;-;;;-;-;-;-;;;;;-;-;;-;;;-;;-;-;-;-;23:21;23:21;01:05;01:05;02:07;02:07
Fronreute, Baienbach2;05:51;;;06:51;06:51;;07:01;07:21;;;;;08:21;;09:01;09:06;09:31;;10:01;;;;12:01;;;13:01;13:31;14:06;14:31;;;;;16:31;17:01;;17:31;;;18:31;;19:31;19:31;20:31;21:02;-;-;-;-;-;-
Fronreute Blitzenreute, Engel, Mast 2;-;;;-;-;;-;-;;;;;-;;-;-;-;;-;;;;-;;;-;-;-;-;;;;;-;-;;-;;;-;;-;-;-;21:05;23:24;23:24;01:08;01:08;02:10;02:10
Fronreute Staig, Mast 2;-;;;-;-;;-;-;;;;;-;;-;-;-;;-;;;;-;;;-;-;-;-;;;;;-;-;;-;;;-;;-;-;-;21:08;23:27;23:27;01:11;01:11;02:13;02:13
Berg, Dietenhofen, Mast 2;05:53;;;06:53;06:53;;07:03;07:23;;;;;08:23;;09:03;09:08;09:33;;10:03;;;;12:03;;;13:03;13:33;14:08;14:33;;;;;16:33;17:03;;17:33;;;18:33;;19:33;19:33;20:33;-;-;-;-;-;-;-
Berg, Aichach2;05:54;;;06:54;06:54;;07:04;07:24;;;;;08:24;;09:04;09:09;09:34;;10:04;;;;12:04;;;13:04;13:34;14:09;14:34;;;;;16:34;17:04;;17:34;;;18:34;;19:34;19:34;20:34;-;-;-;-;-;-;-
Berg, Bachmaier, Mast 2;05:55;;;06:55;06:55;;07:05;07:25;;;;;08:25;;09:05;09:10;09:35;;10:05;;;;12:05;;;13:05;13:35;14:10;14:35;;;;;16:35;17:05;;17:35;;;18:35;;19:35;19:35;20:35;-;-;-;-;-;-;-
Berg, Abzw. Kernen, Mast 2;05:57;;;06:57;06:57;;07:07;07:27;;;;;08:27;;09:07;09:12;09:37;;10:07;;;;12:07;;;13:07;13:37;14:12;14:37;;;;;16:37;17:07;;17:37;;;18:37;;19:37;19:37;20:37;-;-;-;-;-;-;-
Berg, Weiler, Mast 1;06:00;06:18;06:36;07:00;07:00;07:00;07:10;-;07:25;07:40;08:10;08:10;08:30;08:40;09:10;09:15;09:40;09:40;10:10;10:10;10:40;11:40;12:10;13:00;13:00;13:10;13:40;14:15;14:40;15:10;15:40;15:40;16:10;16:40;17:10;17:10;17:40;18:10;18:10;18:40;19:10;19:40;19:40;20:40;21:13;23:32;23:32;01:16;01:16;02:18;02:18
Berg, Weilerhalde, Mast 1;06:01;06:19;06:37;07:01;07:01;07:01;07:11;-;07:26;07:41;08:11;08:11;08:31;08:41;09:11;09:16;09:41;09:41;10:11;10:11;10:41;11:41;12:11;13:01;13:01;13:11;13:41;14:16;14:41;15:11;15:41;15:41;16:11;16:41;17:11;17:11;17:41;18:11;18:11;18:41;19:11;19:41;19:41;20:41;21:14;23:34;23:34;01:18;01:18;02:20;02:20
Ravensburg, Polizeipr‰sidium, Mast 3;-;-;-;-;-;-;-;07:37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Berg, Ettishofen, Mast 2;06:03;06:21;06:38;07:03;07:03;07:03;07:13;-;07:28;07:43;08:13;08:13;08:33;08:43;09:13;09:18;09:43;09:43;10:13;10:13;10:43;11:43;12:13;13:03;13:03;13:13;13:43;14:18;14:43;15:13;15:43;15:43;16:13;16:43;17:13;17:13;17:43;18:13;18:13;18:43;19:13;19:43;19:43;20:43;21:16;23:36;23:36;01:20;01:20;02:22;02:22
Berg, Kasernen, Mast 2;06:04;06:22;06:39;07:04;07:04;07:04;07:14;-;07:29;07:44;08:14;08:14;08:34;08:44;09:14;09:19;09:44;09:44;10:14;10:14;10:44;11:44;12:14;13:04;13:04;13:14;13:44;14:19;14:44;15:14;15:44;15:44;16:14;16:44;17:14;17:14;17:44;18:14;18:14;18:44;19:14;19:44;19:44;20:44;21:17;23:37;23:37;01:21;01:21;02:23;02:23
Berg, Wilhelm-Gindele-Straﬂe, Mast 2;06:05;06:23;06:41;07:05;07:05;07:05;07:15;-;07:30;07:45;08:15;08:15;08:35;08:45;09:15;09:20;09:45;09:45;10:15;10:15;10:45;11:45;12:15;13:05;13:05;13:15;13:45;14:20;14:45;15:15;15:45;15:45;16:15;16:45;17:15;17:15;17:45;18:15;18:15;18:45;19:15;19:45;19:45;20:45;21:18;23:38;23:38;01:22;01:22;02:24;02:24
