Linienvariante;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Route;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;#NAME?;16 Mi;16 Mi;108 Mo-Di+Do-Fr;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;#NAME?;16 Mi;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;#NAME?;16 Mi;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;16 Mi;#NAME?;108 Mo-Di+Do-Fr;#NAME?;16 Mi
Verkehrsbeschränkung;108;16;108;16;108;16;108;16;!;108;2;16;16;108;108;16;2;108;16;2;108;16;2;108;16;2;!;!;108;2;16;!;!;108;16;2;108;16;2;108;16;2;108;16;108;16;2;108;16;108;2;16;108;16;108;16;2;108;2;16
Planungsbedingung;;;;;;;;;;;;;;;;;;;;;;;;;;;~RF & Schule & ~'UMl;Schule & ~'UMlMPL1&4;;;;~RF & Schule & ~'UMl;Schule & ~'UMlMPL1&4;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fahrtart;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO
Zielnummer der Route;8137;8137;8137;8137;8137;8137;8137;8137;8472;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137;8137
Zieltext der Route;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Ravensburg;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-;Am Mühlbach-
