Wolperts. Mochenwangen, Adler, Mast 1;05:34;06:34;06:48;06:49;07:04;07:19;07:34;;08:04;08:34;09:04;09:34;10:04;10:34;11:19;11:34;12:34;12:34;13:19;13:34;13:34;14:04;;14:34;15:04;16:04;;17:04;17:19;18:04;19:04;19:04;21:04;21:19;00:04;-
Wolperts. Mochenw, Alte Kirche, Mast 1;05:35;06:35;06:49;06:50;07:05;07:20;07:35;;08:05;08:35;09:05;09:35;10:05;10:35;11:20;11:35;12:35;12:35;13:20;13:35;13:35;14:05;;14:35;15:05;16:05;;17:05;17:20;18:05;19:05;19:05;21:05;21:20;00:05;-
Wolperts. Mochenwangen, Jäger, Mast 1;05:36;06:36;06:50;06:51;07:06;07:21;07:36;;08:06;08:36;09:06;09:36;10:06;10:36;11:21;11:36;12:36;12:36;13:21;13:36;13:36;14:06;;14:36;15:06;16:06;;17:06;17:21;18:06;19:06;19:06;21:06;21:21;00:06;-
Baindt, Abzw.Sulpach, Mast 2;05:38;06:38;06:52;06:53;07:08;07:22;07:38;;08:08;08:38;09:08;09:38;10:08;10:38;11:23;11:38;12:38;12:38;13:23;13:38;13:38;14:08;;14:38;15:08;16:08;;17:08;17:23;18:08;19:08;19:08;21:08;21:23;00:07;-
Baindt Wickenhaus, Dachser, Mast 2;05:39;06:39;06:53;06:54;07:09;07:23;07:39;;08:09;08:39;09:09;09:39;10:09;10:39;11:24;11:39;12:39;12:39;13:24;13:39;13:39;14:09;;14:39;15:09;16:09;;17:09;17:24;18:09;19:09;19:09;21:09;21:24;00:08;-
Baindt, Schachen, Mast 2;05:40;06:40;06:54;06:55;07:10;07:24;07:40;;08:10;08:40;09:10;09:40;10:10;10:40;11:25;11:40;12:40;12:40;13:25;13:40;13:40;14:10;;14:40;15:10;16:10;;17:10;17:25;18:10;19:10;19:10;21:10;21:25;00:09;-
Baienfurt, Rainpadent, Mast 2;05:42;06:42;06:56;06:57;07:12;07:25;07:42;;08:12;08:42;09:12;09:42;10:12;10:42;11:27;11:42;12:42;12:42;13:27;13:42;13:42;14:12;;14:42;15:12;16:12;;17:12;17:27;18:12;19:12;19:12;21:12;21:27;00:10;-
Baienfurt, Achtalschule, Mast 1;-;-;-;-;-;07:35;-;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;;-;-;-;-;-;-;-;-;-
Weingarten, Welte Nord/Bechters, Mast 2;05:43;06:43;06:57;06:58;07:13;-;07:43;;08:13;08:43;09:13;09:43;10:13;10:43;11:28;11:43;12:43;12:43;13:28;13:43;13:43;14:13;;14:43;15:13;16:13;;17:13;17:28;18:13;19:13;19:13;21:13;21:28;00:11;-
Weingarten, Charlottenplatz, Mast 3;05:49;06:49;07:03;07:04;07:19;07:45;07:49;;08:19;08:49;09:19;09:49;10:19;10:49;11:29;11:49;12:49;12:49;13:29;13:49;13:49;14:19;;14:49;15:19;16:19;;17:19;17:29;18:19;19:19;19:19;21:19;21:29;00:15;00:15
Weingarten, Krankenhaus 14 Nothelfer, Mast 1;05:50;06:50;07:04;07:05;07:20;07:47;07:50;;08:20;08:50;09:20;09:50;10:20;10:50;11:30;11:50;12:50;12:50;13:30;13:50;13:50;14:20;;14:50;15:20;16:20;;17:20;17:30;18:20;19:20;19:20;21:20;21:30;00:16;00:16
Ravensburg, Polizeipräsidium, Mast 1;05:53;06:53;-;-;07:23;-;07:52;;08:23;08:52;09:23;09:52;10:23;10:52;11:33;11:53;12:52;12:53;13:33;13:52;13:53;14:23;;14:53;15:23;16:23;;17:24;17:33;18:24;19:24;19:24;21:24;21:33;00:20;00:20
Ravensburg, Frauentor, Mast 1;05:55;06:55;-;-;07:25;-;07:54;;08:25;08:54;09:25;09:54;10:25;10:54;11:35;11:55;12:54;12:55;13:35;13:54;13:55;14:25;;14:55;15:25;16:25;;17:25;17:35;18:25;19:25;19:25;21:25;21:35;00:22;00:22
Ravensburg, Bahnhof, Mast 4;05:59;06:59;-;-;07:29;-;07:58;;08:29;08:58;09:29;09:58;10:29;10:58;11:39;11:59;12:58;12:59;13:39;13:58;13:59;14:29;;14:59;15:29;16:29;;17:30;17:39;18:30;19:30;19:30;21:30;21:39;00:26;00:26
RV, Bildungszentrum St.Konrad, Mast 2;;;07:08;07:09;;07:50;;;;;;;;;;;;;;;;;;;;;16:18;;;;;;;;;
Ravensburg, Polizeipräsidium, Mast 1;;;07:18;07:19;;07:55;;;;;;;;;;;;;;;;;;;;;16:28;;;;;;;;;
Ravensburg, Frauentor, Mast 1;;;07:20;07:21;;07:58;;;;;;;;;;;;;;;;;;;;;16:30;;;;;;;;;
Ravensburg, Bahnhof, Mast 4;;;07:24;07:25;;08:00;;;;;;;;;;;;;;;;;;;;;16:34;;;;;;;;;
